,title,company,salary,location,summary
52,Software Engineering Manager,FriendFinder Networks,"$180,000 - $220,000 a year","Santa Monica, CA 90403 (Mid-City area)•Temporarily Remote",FriendFinder Networks is looking to hire a Software Engineering Manager.S/he will be responsible for managing multiple software engineering teams that are…
53,TM1 Application Developer,Amazon.com Services LLC,,"Culver City, CA 90230","Bachelor’s Degree (or foreign equivalent) in Computer Science, Software Engineering or closely related field.Ideal candidates will have expertise in all phases…"
54,Software Test Engineer,"Science System and Applications, Inc.",,"Pasadena, CA","This individual will be a key member of The GLOBE Program development team in support of NASA, helping to improve our overall quality and efficiency to deliver…"
55,Lead Web Developer,California State University,"$6,249 - $12,100 a month","Northridge, CA 91330","The incumbent serves as the lead developer and coordinator of services in the CSUN web presence.Under general supervision of the Director, Enterprise…"
56,"Software Engineering Manager, Chrome OS",Google,"$183,000 a year","Los Angeles, CA (Venice area)","Experience building productivity or automation tools for developers.Experience building developer tooling, developing on a cloud computing platform, and…"
57,Software Engineer,Edmunds.com,,"Santa Monica, CA 90404 (Mid-City area)+1 location•Remote","Design and develop services that power our rich user experiences.Work closely with product, design and engineering to implement features and solutions to make…"
58,Software Development Engineer - Clario,Intelerad,,"Los Angeles, CA","Experience with at least two scripting languages such as PHP, Javascript, or python.You’ll join a small team to design, architect, build, and test software…"
59,"newSoftware Engineer-Backend(Go,Perl,Python)",DYL,,"Culver City, CA","Develops RESTful microservices in Golang.Deploys solutions to GCP with Kubernetes.Demonstrated ability to write reusable, testable, and efficient code."
60,Shopify Fullstack Developer,Universal Music Group,,"Woodland Hills, CA 91367","The developer will be responsible for architecting and developing custom modules and interfaces for our global Shopify eCommerce stack from top down,…"
61,Machine Learning Engineer,SADA,,"Los Angeles, CA•Temporarily Remote",You will have an opportunity to work on real-world data problems that need existing solutions using Google ML APIs or by developing custom models.
62,Software Engineer- Resolve Team (LA),Route,,"Los Angeles, CA","We are looking for versatile engineers that bring a background in distributed systems design and development, large-scale data storage and processing systems,…"
63,Software Development Engineer in Test,Amazon.com Services LLC,,"Santa Monica, CA 90404 (Mid-City area)",Bachelor's Degree in Computer Science or related field.3+ years professional experience as a Software Development Engineer in Test (SDET).
64,ETL Developer,Robert Half,"$120,000 - $150,000 a year","Los Angeles, CA 90025•Remote","Benefits: Excellent health benefits for employees and dependents, 401K matching, generous time off.Technologies : SQL Databases, AWS cloud services, ETL,…"
65,Backend Developer,Basepaws,"$80,000 - $110,000 a year","Los Angeles, CA+1 location","Experience with javascript and python for building web infrastructure.The ideal candidate is a strong backend engineer with development skills, experience…"
66,Machine Learning Engineer,Dow Jones,,"Los Angeles, CA 90006","The Data & Analytics department is the centralized data team at IBD that supports all business functions including Marketing, Product, Content, and Ad Sales."
67,Python Lead Developer,SYSTECH,,"Glendale, CA 91203 (City Center area)","Understand, analyze, and implement software requirements.Understand technical requirements and develop the product.Test and debug the applications."
68,Software Engineering,LiveFaculty,,"Los Angeles, CA","BS, MS or PhD in Computer Science or equivalent.Experience with Unix/Linux environments, C/C++, distributed systems, machine learning, information retrieval,…"
69,"newC++ Engineer, Augmented Reality, 1+ Years Experience",Snapchat,,"Los Angeles, CA 90291 (Venice area)",Experience creating developer-facing APIs and libraries.Participate in feature planning and creating technical specifications.
70,Software Engineer,WarnerMedia,,"Burbank, CA 91505","From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units…"
71,Microsoft Azure Application Developer,Deloitte,,"Los Angeles, CA 90013 (Downtown area)",Cloud Engineering supports our clients as they improve agility and resilience and identifies opportunities to reduce IT operations spend through automation by…
72,Junior Software Engineer,DIRECTV,,"El Segundo, CA","Our software development teams span the full-stack spectrum, including front-end, back-end and mobile app development.Utilize Agile and/or Scrum Methodology."
73,Senior Software Developer,Hulu,,"Santa Monica, CA","Design and develop the large-scale, real-time, reliable and globally available platforms.Build robust and scalable micro-services and data pipelines."
74,Software Engineer,Fox Corporation,,"Los Angeles, CA","You will be part of a new team with full permission to reinvent, disrupt, and build in a highly collaborative and transparent environment."
75,Software Development Engineer in Test II,Medtronic,,"Northridge, CA 91325+2 locations","Under general supervision from the Engineering Manager, this individual will serve as a member of the larger software test and development organization with…"
76,Programmer Analyst II,USC,"$65,000 - $90,000 a year","Marina del Rey, CA 90292+1 location",The Imaging Genetics Center of USC (http://igc.ini.usc.edu) - a subdivision of INI - is recruiting a talented full-time Programmer Analyst with expertise in…
77,Software Engineer - Infrastructure,GOAT,,"Los Angeles, CA","Improve our internal PaaS that allows teams to build, deploy, and operate their own applications.Design core infrastructure and platform components for a fast…"
78,AWS Developer,Full Potential Solutions,,"Los Angeles, CA",Designing and developing amazing user experiences across data visualization and analytic.Building Salesforce solutions to drive customer engagement by…
79,Principal Python Software Engineer,Motional,,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)+1 location","We provide essential tools and frameworks to support the entire lifecycle of machine learning, from data processing, large scale training and evaluation…"
80,Associate Full Stack Engineer,Activision,,"Sherman Oaks, CA+1 location","As an Associate Full Stack Engineer, you will be responsible for building tools and reporting dashboards for the game security team."
81,Software Operations Engineer (Dragon),SpaceX,,"Hawthorne, CA 90250 (North Hawthorne area)",You will partner cross-functionally to ensure software is configured to each mission's specifications and needs.Plan and execute vehicle testing milestones.
82,Software Operations - Lead/Manager Full-Stack Engineer (Pyth...,Canoo,,"Torrance, CA•Remote",Work on developer efficiency tools.Create automation using python or other scripting languages.Creating and working with custom python pip packages.
83,Propulsion Software Engineer,Relativity,,"Long Beach, CA","Our team designs, analyzes, and tests the Aeon engine series at the integrated system level.You will own software tools that simulate, compare, and visualize…"
84,Backend Developer - Strategic Communication and Engagement,Azusa Pacific University,$25.94 - $33.72 an hour,"Azusa, CA 91702","Experience as a Python developer preferred.Work jointly with frontend developers along with other team members to set up objectives, as well as design cohesive…"
85,"Software Development Engineer II, Creative Tools","Amazon Web Services, Inc.",,"Santa Monica, CA 90404 (Mid-City area)+8 locations","2+ years of non-internship professional software development experience.Programming experience with at least one modern language such as Java, C++, or C#…"
86,Staff Backend Software Engineer (Python),Kernel,,"Culver City, CA 90232 (Jefferson area)","We are looking for a skilled, self-driven problem-solver with expertise in backend software engineering to build APIs and client applications which will support…"
87,"Engineering Manager, Tools",Hinge,,"Los Angeles, CA",Our goal is to increase the development velocity by reducing bugs and unneeded friction around development and onboarding as well as provide tools and…
88,Machine Learning Engineer,SADA,,"Los Angeles, CA•Temporarily Remote",You will have an opportunity to work on real-world data problems that need existing solutions using Google ML APIs or by developing custom models.
89,Data Consultant - Database Developer,Kaiser Permanente,,"Pasadena, CA","Under general supervision, this position exists to assist the organization in making strategic data-related decisions by analyzing, manipulating, tracking,…"
90,newPL/SQL Developer with Experience in Windows Migration(OPT al...,"mLogica, LLC",From $40 an hour,"Pasadena, CA","Experience on one of more of RDBMS (Oracle, MSSQL, MySQL, PostgreSQL, Aurora, MariaDB, DB2, Sybase, etc.).Strong hands-on SQL skills (Procedures, Functions,…"
91,"Software Engineer, Full Stack",Snapchat,,"Los Angeles, CA 90291 (Venice area)","Combine strong software engineering principles to build scalable, reproducible and easy-to-use end-to-end machine learning solutions for data processing."
92,Software Development Engineer - Clario,Intelerad,,"Los Angeles, CA","Experience with at least two scripting languages such as PHP, Javascript, or python.You’ll join a small team to design, architect, build, and test software…"
93,Sterling Integrator Developer,NBCUniversal,,"Universal City, CA","The Sterling Integrator developer will be engaged in B2B integration development activities in collaboration with various Enterprise application teams, Business…"
94,Software Developer,Romeo Power,,"Los Angeles, CA",The software developer will be responsible for designing and building our future enterprise data pipelines.The developer will work with Manufacturing Engineers…
95,React JS Developer,Griffin Global Systems,"$90,000 - $110,000 a year","Los Angeles, CA+2 locations•Temporarily Remote",Update and improve our core product alongside frontend developers.5+ years of professional Full Stack Development Experience.2+ years of React experience.
96,newNew College Grad: Software Engineer II,Raytheon Intelligence & Space,,"El Segundo, CA","The candidate should have a demonstrable understanding of software principles, theories, and concepts related to software engineering (including software…"
97,newPrincipal Developer Advocate - Observability (U.S. Remote av...,New Relic,,"Los Angeles, CA 90001•Remote","Work closely with content, partner, product, DevRel, and other teams to create relevant content, events, and more to connect with our core audiences of…"
98,Infotainment Software QA Engineer,Canoo,,"Torrance, CA","The Infotainment Software QA Engineer will be responsible for planning, conducting and reviewing testing activities to ensure the correct operation of the…"
99,Software Developer,Pariveda Solutions,,"Los Angeles, CA","As a Pariveda Consultant, you will work on small teams, collaborating with other Pariveda employees while partnering with clients to implement real-world…"
100,"Remote Jr. Developer - Python, Java, AWS, SQL",Kelly,,"Los Angeles, CA 90025+2 locations•Remote","We are seeking a Junior Programmer Analyst.You are a team player who brings comprehensive knowledge of software development to analyze, design, develop, modify…"
101,"Software Engineer, Mid",Booz Allen Hamilton,,"El Segundo, CA",We’re looking for a developer with the skills needed to build software from vision to production-ready system.Ability to learn new languages and frameworks.
102,newSoftware Engineer,California Institute of Technology,,"Pasadena, CA 91125 (South area)","This role will include a leadership component as the hire will be designated the Project Engineer for the ongoing Radio Camera Initiative, assisting the PI in…"
103,Remote QA Programmer,Recruiting for Good,,"Los Angeles, CA•Remote","Collaborate with other software engineers, developers, and designers for continuous improvement of product quality.Expertise working with GitLab or GitHub."
104,Senior Backend Engineer,GOAT,,"Los Angeles, CA","Formulate an efficient game plan for delivering a stable, well-tested feature on time.Make technical recommendations that improve the codebase while minimizing…"
105,newProgrammer Analyst,UCLA,,"Los Angeles, CA","The incumbent is required to have in-depth knowledge in Python programming in team project environment.Bachelor's degree in Computer Science or related field,…"
106,"Senior Application Developer, ACDC Enhancing Detection Proje...",Heluna Health,,"Los Angeles, CA 90012",This position will work with the Data Science team on primarily on data engineering (automation) projects.Standard work hours (40hours/week).
107,Software Engineer - Delivery,Foursquare,,"Los Angeles, CA","In this role, you will ship a platform product with high visibility and of strategic importance to Foursquare, and contribute directly to revenue."
108,Web Application Developer,Aioi Nissay Dowa Insurance Services USA,,"Torrance, CA 90501•Remote",This position is for a full stack web developer and will be responsible for the development and operation of our main data visualization web application.
109,"Software Development Engineer II, Creative Tools","Amazon Web Services, Inc.",,"Santa Monica, CA 90404 (Mid-City area)","2+ years of non-internship professional software development experience.Programming experience with at least one modern language such as Java, C++, or C#…"
110,Business Intelligence Engineer,Amazon.com Services LLC,,"Santa Monica, CA 90404 (Mid-City area)","Experience with data visualization using Tableau, Quicksight, or similar tools.3+ years analyzing and interpreting data and experience with Redshift, Oracle,…"
111,"Software Developer, Cloud Infrastructure",Motional,,"Santa Monica, CA",Improve developer experience by automating deployment of services.You'll help the Autonomy team achieve flow through automation and continuous deployment;…
112,Junior Software Engineer,Honeybee Robotics,,"Altadena, CA","We offer a robust benefits package including; paid parental leave, tuition reimbursement, company-paid life and disability insurance, and a generous offering of…"
113,React JS Developer,Griffin Global Systems,"$90,000 - $110,000 a year","Los Angeles, CA+2 locations•Temporarily Remote",Update and improve our core product alongside frontend developers.5+ years of professional Full Stack Development Experience.2+ years of React experience.
114,Full Stack Engineer,Universal Music Group,,"Santa Monica, CA 90404 (Mid-City area)",You will work in a newly created Product R&D team to design and develop new prototype products and features for UMG’s suite of internal data products.
115,newREMOTE Python Developer,CyberCoders,"$110,000 - $120,000 a year","Santa Monica, CA 90401•Remote","If you are a REMOTE Software Developer with Python, MySQL/SQL, JavaScript and any combination of industry and/or bonus tech stack skills, this is the role for…"
116,Software Development Engineer in Test,Medtronic,,"Northridge, CA 91325","As a Software Development Engineer in Test, you will develop test strategies and create manual and automated test cases to thoroughly verify complex health care…"
117,Machine learning engineer,BusinesStaff,,"Los Angeles, CA","Experience in python and machine learning libraries (cikit-learn, tensorflow, keras).Machine Learning engineers are involved in data extraction, developing…"
118,"Software Engineer, Tools",System1,,"Los Angeles, CA",The tools team works with all teams across the company to identify opportunities where technology can be leveraged to drive improvements in a constantly…
119,Staff Backend Software Engineer (Python),Kernel,,"Culver City, CA 90232 (Jefferson area)","We are looking for a skilled, self-driven problem-solver with expertise in backend software engineering to build APIs and client applications which will support…"
120,Associate Full Stack Engineer,Activision,,"Sherman Oaks, CA","As an Associate Full Stack Engineer, you will be responsible for building tools and reporting dashboards for the game security team."
121,Associate DevOps Engineer,Biola University,$30 - $40 an hour,"La Mirada, CA 90639",The Associate DevOps Engineer is part of an agile software engineering team and supports development and production environments by enhancing and automating…
122,2022 Talent Development Program - General Technical Director...,Walt Disney Animation Studios,,"Burbank, CA",Emerging developers with less than 5 years experience in the Animation Industry.You will work directly with artists and software developers to solve problems…
123,newPL/SQL Developer with Experience in Windows Migration(OPT al...,"mLogica, LLC",From $40 an hour,"Pasadena, CA","Experience on one of more of RDBMS (Oracle, MSSQL, MySQL, PostgreSQL, Aurora, MariaDB, DB2, Sybase, etc.).Strong hands-on SQL skills (Procedures, Functions,…"
124,newNew College Grad: Software Engineer II,Raytheon Intelligence & Space,,"El Segundo, CA","The candidate should have a demonstrable understanding of software principles, theories, and concepts related to software engineering (including software…"
125,Software Development Engineer - Clario,Intelerad,,"Los Angeles, CA","Experience with at least two scripting languages such as PHP, Javascript, or python.You’ll join a small team to design, architect, build, and test software…"
126,"Senior Backend Engineer (Go, Java, Python)",Technology Incubator,,"Los Angeles, CA","Due to the space we innovate in, your products will process billions of transactions per day, in real-time, and power both startup and established industry…"
127,Software Developer,Pariveda Solutions,,"Los Angeles, CA","As a Pariveda Consultant, you will work on small teams, collaborating with other Pariveda employees while partnering with clients to implement real-world…"
128,"Software Engineer, Full Stack",Snapchat,,"Los Angeles, CA 90291 (Venice area)","Combine strong software engineering principles to build scalable, reproducible and easy-to-use end-to-end machine learning solutions for data processing."
129,newPrincipal Developer Advocate - Observability (U.S. Remote av...,New Relic,,"Los Angeles, CA 90001•Remote","Work closely with content, partner, product, DevRel, and other teams to create relevant content, events, and more to connect with our core audiences of…"
